7/10/14,,7:32:37 AM,E043587,,,,other file,,,,,,,,,,,,,,,
7/11/14,,11:31:02 AM,E043188,,,,|pbp|G|N|.5|File was rejected and we have not received any response from AE,,,,,,,,,,,,,,,
7/24/14,,5:52:51 AM,E043587,,,,New file sent,,,,,,,,,,,,,,,
6/26/14,,3:38:23 PM,E050447,,,,|pbp|B|N|1| Missing File,,,,,,,,,,,,,,,
7/10/14,,12:18:16 PM,E047589,,,,|php|G|N|0.5|Forwarding to MRS BATCH,,,,,,,,,,,,,,,
7/8/14,,7:52:06 AM,E047589,,,,|php|G|N|0.25|Response,,,,,,,,,,,,,,,
7/8/14,,2:44:26 AM,E043587,,,,reason ?,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2477509,Process attached Batch22 for Fuel Rewards Network,,,,,SUBMITTED,,3,6/27/14,4:30:19 PM,,E040220,,,MRSOWN,6/28/14,1:18:30 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
6/28/14,,1:17:48 AM,E040832,,,,|frn|B|Y|.5|  File processed with success for FRN,,,,,,,,,,,,,,,
6/27/14,,5:23:23 PM,E033372,,,,|frn|B|N|.5|  Assigning to MRS Batch,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2482468,FRN Back Score,,,,,SUBMITTED,,3,7/1/14,2:20:10 PM,,E040220,,,MRSOWN,7/2/14,6:50:02 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
7/2/14,,6:49:40 AM,E043188,,,,|frn|B|N|.5| completed successfully.,,,,,,,,,,,,,,,
7/1/14,,3:38:12 PM,E033372,,,,"|frn|B|N|.5|  Routing to Batch Support , instruction included",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2485559,|smp|G|N|1.75| - Spring Marketplace Missing Rebate (ICA 14940),,,,,SUBMITTED,,3,7/2/14,3:07:05 PM,,E040220,,,MRSOWN,7/22/14,4:26:38 PM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
7/22/14,,11:30:48 AM,E040220,,,,File Name,,,,,,,,,,,,,,,
7/22/14,,4:25:28 PM,E020147,,,,|smp|G|N|3|  file failed in GFT--MRS never received,,,,,,,,,,,,,,,
7/3/14,,9:28:48 AM,E040220,,,,Account Number Provided Below,,,,,,,,,,,,,,,
7/8/14,,12:19:31 PM,E033197,,,,|smp|G|N|1.5| - Credit record could not be found,,,,,,,,,,,,,,,
7/15/14,,1:50:50 PM,E020147,,,,|smp|G|N|2|  Please provide RM37 file name,,,,,,,,,,,,,,,
7/16/14,,1:38:55 PM,E040220,,,,Additional Info attached,,,,,,,,,,,,,,,
7/3/14,,6:31:48 AM,E041890,,,,|smp|G|N|.25| - More information required,,,,,,,,,,,,,,,
7/14/14,,4:59:12 PM,E040220,,,,Please do additional research,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2485669,Back score for Mogl (ICA15298),,,,,SUBMITTED,,3,7/2/14,3:43:47 PM,,E040220,,,MRSOWN,7/3/14,5:07:58 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
7/3/14,,5:06:48 AM,E040832,,,,|mogl|B|N|.5|completed-Back score for Mogl (ICA15298),,,,,,,,,,,,,,,
7/2/14,,6:13:39 PM,E033372,,,,"|mogl|B|N|.5|   Please run backscoring, instructions included.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2492532,File Request for Barclay - Production - Potential Data Fix,,,,,SUBMITTED,,3,7/8/14,11:48:43 AM,,E049468,,,MRSOWN,9/2/14,9:27:35 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
9/2/14,,9:23:48 AM,E047751,,,,|bc|G|N|1|No Issues found,,,,,,,,,,,,,,,
8/20/14,,1:32:44 PM,E047751,,,,|bc|C|N|2|Check the attached report,,,,,,,,,,,,,,,
8/28/14,,6:57:02 AM,E047818,,,,UPDATE REQUIRED,,,,,,,,,,,,,,,
8/8/14,,7:55:44 AM,E049468,,,,Requirements,,,,,,,,,,,,,,,
8/8/14,,6:14:14 AM,E047751,,,,"|bc|G|N|0.15|Check below, please",,,,,,,,,,,,,,,
8/21/14,,8:01:42 AM,E049468,,,,Account example to work on this activity,,,,,,,,,,,,,,,
8/1/14,,1:58:46 AM,E049468,,,,To be re-worked,,,,,,,,,,,,,,,
8/1/14,,2:00:22 AM,E049468,,,,,,,,,,,,,,,,,,,
7/15/14,,7:10:37 AM,E047751,,,,"|bc|C|N|1|Please, check below and attachments",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2496126,Set up Business partner and link promotion to Program ID 7975,,,,,SUBMITTED,,3,7/9/14,3:44:04 PM,,E028265,,,CHDRSL,7/17/14,2:01:59 PM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
7/17/14,,1:59:36 PM,E020147,,,,|boar|G|Y|1|  transactions backloaded from DW,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2497727,Back score - FRN (ICA 14857),,,,,SUBMITTED,,3,7/10/14,11:51:14 AM,,E040220,,,MRSOWN,7/10/14,3:03:04 PM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
7/10/14,,2:58:40 PM,E020147,,,,|frn|G|Y|1|  backscore complete,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2498275,FRN Linking Issue,,,,,SUBMITTED,,3,7/10/14,2:47:36 PM,,E040220,,,MRSOWN,7/11/14,10:42:24 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
7/11/14,,10:39:08 AM,E020147,,,,|frn|A|N|.25|  same event occurred yesterday,,,,,,,,,,,,,,,
7/11/14,,9:13:28 AM,E020147,,,,|frn|A|N|.25| Please confirm this is still an issue,,,,,,,,,,,,,,,
7/11/14,,9:38:39 AM,E040220,,,,Additional info,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2499833,FRN Batch 22,,,,,SUBMITTED,,3,7/11/14,10:08:46 AM,,E040220,,,MRSOWN,7/11/14,2:22:26 PM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
7/11/14,,2:21:38 PM,E020147,,,,|frn|G|Y|1|  file processed as requested,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2501653,Weekend Orion VFF Files Missing - Barclays Production - Urgency requested,,,,,SUBMITTED,,2,7/14/14,3:37:16 AM,,E049468,,,MRSOWN,7/14/14,8:25:57 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
7/14/14,,8:24:16 AM,E041890,,,,|bc|G|N|1| - VFF file has now been sent,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2503094,Firstbank - Account Appearing twice (ICA 2689),,,,,SUBMITTED,,3,7/14/14,3:52:53 PM,,E040220,,,MRSOWN,7/15/14,10:03:00 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
7/15/14,,10:01:19 AM,E030232,,,,|fb|G|N|.5| secondary acct info - no action yet,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2505280,BHS Rewards - ICA 10868,,,,,SUBMITTED,,2,7/15/14,12:39:34 PM,,E031557,,,MRSOWN,7/16/14,6:39:37 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
7/15/14,,2:02:37 PM,E050447,,,,|bc1|O|N|0.25| Statement Production,,,,,,,,,,,,,,,
7/16/14,,1:43:54 AM,E043188,,,,|bc1|O|N|.25|Re-Sent the file Successfully,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2506678,|rfb|G|N|4.5| - RFB 5292 - Security Question Issues in Prod- P1,,,,,SUBMITTED,,1,7/16/14,5:59:23 AM,,E047818,,,MRSOWN,7/22/14,4:17:50 PM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
7/22/14,,3:36:51 PM,E033197,,,,|rfb|G|N|0.5| - Email Sent to Jen,,,,,,,,,,,,,,,
7/17/14,,5:11:12 AM,E047818,,,,Confirmation attached,,,,,,,,,,,,,,,
7/17/14,,1:49:49 PM,E033197,,,,|rfb|G|N|3| - New file has been put in place.,,,,,,,,,,,,,,,
7/16/14,,2:33:28 PM,E033197,,,,|rfb|G|N|.5| - Have you verified MTF?,,,,,,,,,,,,,,,
7/17/14,,2:09:58 PM,E033197,,,,|rfb|G|N|1| - Are we good with this?,,,,,,,,,,,,,,,
7/18/14,,9:45:02 AM,E047818,,,,further info for Remember my PC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2507372,Q3 Purge Request - Barclaycard ICA 2182 and 10868 - Urgency requested,,,,,SUBMITTED,,3,7/16/14,8:32:26 AM,,E049468,,,MRSOWN,9/18/14,10:37:53 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
9/18/14,,10:32:41 AM,E033372,,,,|bc|D|Y|4|   Purge completed.,,,,,,,,,,,,,,,
8/30/14,,7:31:02 PM,E033372,,,,|bc|D|N|.1|  238 accounts set back to Canceled status from inactive.,,,,,,,,,,,,,,,
9/3/14,,8:09:17 AM,E049468,,,,File to be provided with confirmed account status,,,,,,,,,,,,,,,
8/1/14,,3:05:15 AM,E049468,,,,Final Purge List provided by Client,,,,,,,,,,,,,,,
7/21/14,,1:47:58 PM,E033372,,,,|bc|B|N|1.5|  Purge reports mailed,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2523203,Missing Rebates,,,,,SUBMITTED,,3,7/25/14,2:00:25 PM,,E028265,,,CHDRSL,7/25/14,4:44:17 PM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
7/25/14,,4:36:32 PM,E047718,,,,|boar|G|N|2|,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2525012,RFB: 5292 - Purge Request,,,,,SUBMITTED,,3,7/28/14,3:56:25 AM,,E047818,,,MRSOWN,1/6/15,1:59:05 PM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the specifications,,,,,,,,,,,,,,,,,,,,,,
Alphanumeric Value,,,,,,,,,,,,,Attribute,,,,,,,,,
Data Update,,,,,,,,,,,,,MRSREQUEST,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
1/6/15,,1:56:21 PM,E033372,,,,"Purge completed, see results below.",,,,,,,,,,,,,,,
10/16/14,,7:53:10 PM,E033372,,,,|rfb|D||N|1|   Returning old ACT.,,,,,,,,,,,,,,,
10/22/14,,2:59:33 AM,E047818,,,,Confirmation of Client review of data.,,,,,,,,,,,,,,,
9/9/14,,11:13:38 AM,E047818,,,,Refresh required please,,,,,,,,,,,,,,,
8/1/14,,2:07:31 PM,E047818,,,,Update required please,,,,,,,,,,,,,,,
8/11/14,,11:50:57 AM,E047589,,,,|rfb|G|N|1|Purge report generated,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2525222,Record 35 - missing trx for cardholder,,,,,SUBMITTED,,3,7/28/14,7:23:24 AM,,E043587,,,GIS,7/29/14,9:10:30 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
7/29/14,,1:49:30 AM,E043587,,,,exceptions,,,,,,,,,,,,,,,
7/28/14,,12:07:35 PM,E049033,,,,|pbp|C|N|1|Transactions got processed,,,,,,,,,,,,,,,
7/29/14,,9:02:17 AM,E049033,,,,|pbp|C|N|1|Old transactions,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2526522,FRN Card Linking Issue (ICA 14857),,,,,SUBMITTED,,3,7/28/14,4:04:53 PM,,E040220,,,MRSOWN,8/6/14,1:01:39 PM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
8/6/14,,12:59:48 PM,E050545,,,,|frn|D|Y|2| Accounts purged,,,,,,,,,,,,,,,
7/31/14,,7:56:29 AM,E050545,,,,|frn|D|N|1| Purge repot generated,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2528676,Sears ICA 15781 Transaction File,,,,,SUBMITTED,,3,7/29/14,2:51:44 PM,,E040220,,,MRSOWN,8/4/14,7:23:10 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
8/1/14,,2:23:25 PM,E040220,,,,Additional Question,,,,,,,,,,,,,,,
8/4/14,,7:22:00 AM,E043188,,,,|searsvn|B|N|.5|More details provided,,,,,,,,,,,,,,,
7/31/14,,12:24:58 AM,E038105,,,,|searsvn|B|N|0.5|Saturday file sent on sunday due to DW outage.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2528930,Shopkick ICA 8999 - Transaction File Question,,,,,SUBMITTED,,3,7/29/14,4:20:29 PM,,E040220,,,MRSOWN,7/30/14,12:35:57 PM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
7/30/14,,12:26:18 PM,E050447,,,,|shp|G|N|1| Infomation about the file,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2529802,test,,,,,SUBMITTED,,3,7/30/14,4:52:13 AM,,E031001,,,GIS,7/30/14,9:21:27 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
7/30/14,,9:20:55 AM,E047751,,,,|mc|G|N|0.1|test ok,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2533605,Data Pull,,,,,SUBMITTED,,3,7/31/14,1:29:15 PM,,E028265,,,CHDRSL,8/12/14,3:06:23 PM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
8/12/14,,3:02:47 PM,E050545,,,,|kb|C|N|4| Custom reports were generated,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2533717,FRN ICA 14857 - Batch22,,,,,SUBMITTED,,3,7/31/14,4:35:27 PM,,E040220,,,MRSOWN,8/5/14,8:17:44 AM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
8/4/14,,11:57:45 AM,E033372,,,,|frn|B|N|.5|  Routing to MRS-Batch_Support,,,,,,,,,,,,,,,
8/5/14,,8:15:59 AM,E043188,,,,|frn|B|N|2|File process details,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
The activity details,,,,,,,,,,,,,,,,,,,,,,
Activity,Summary,,,,,Status,,Priority,Actual Start,,,Owner,,Owner Group,Responsible Group,Status Date,,,,Environment,,Org Rec ID
ACT2533788,Linkables Backscore (ICA 14855),,,,,SUBMITTED,,3,7/31/14,2:28:18 PM,,E040220,,,MRSOWN,8/5/14,4:19:04 PM,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All the worklog entries,,,,,,,,,,,,,,,,,,,,,,
Date,,,Created By,,,,Summary,,,,,,,,,,,,,,,
8/5/14,,4:18:02 PM,E020147,,,,"|lnk|G|Y|1|  backscoring complete, file sent",,,,,,,,,,,,,,,
